time	V(out)	V(vc)
4.956474485980642e-06	4.712523e+00	-5.803736e-02
4.966474485980582e-06	4.712515e+00	-5.086500e-02
4.976474485980523e-06	4.712506e+00	-4.369836e-02
4.986474485980464e-06	4.712498e+00	-3.653742e-02
4.996474485980404e-06	4.712488e+00	-2.938218e-02
5.006474485980345e-06	4.712478e+00	-2.223264e-02
5.016474485980285e-06	4.712467e+00	-1.508879e-02
5.026474485980226e-06	4.712455e+00	-7.950628e-03
5.036474485980167e-06	4.712443e+00	-8.181491e-04
5.046474485980107e-06	4.712430e+00	6.308651e-03
5.056474485980048e-06	4.712417e+00	1.342978e-02
5.066474485979989e-06	4.712403e+00	2.054523e-02
5.076474485979929e-06	4.712388e+00	2.765502e-02
5.086474485979870e-06	4.712373e+00	3.475915e-02
5.096474485979810e-06	4.712357e+00	4.185763e-02
5.106474485979751e-06	4.712340e+00	4.895044e-02
5.116474485979692e-06	4.712323e+00	5.603762e-02
5.126474485979632e-06	4.712305e+00	6.311914e-02
5.136474485979573e-06	4.712286e+00	7.019503e-02
5.146474485979513e-06	4.712267e+00	7.726529e-02
5.156474485979454e-06	4.712248e+00	8.432992e-02
5.166474485979395e-06	4.712227e+00	9.138891e-02
5.176474485979335e-06	4.712206e+00	9.844229e-02
5.186474485979276e-06	4.712184e+00	1.054901e-01
5.196474485979216e-06	4.712162e+00	1.125322e-01
5.206474485979157e-06	4.712139e+00	1.195687e-01
5.216474485979098e-06	4.712115e+00	1.265997e-01
5.226474485979038e-06	4.712091e+00	1.336250e-01
5.236474485978979e-06	4.712067e+00	1.406447e-01
5.246474485978920e-06	4.712041e+00	1.476589e-01
5.256474485978860e-06	4.712015e+00	1.546674e-01
5.266474485978801e-06	4.711988e+00	1.616704e-01
5.276474485978741e-06	4.711961e+00	1.686678e-01
5.286474485978682e-06	4.711933e+00	1.756596e-01
5.296474485978623e-06	4.711904e+00	1.826459e-01
5.306474485978563e-06	4.711874e+00	1.896266e-01
5.316474485978504e-06	4.711844e+00	1.966017e-01
5.326474485978444e-06	4.711814e+00	2.035713e-01
5.336474485978385e-06	4.711782e+00	2.105353e-01
5.346474485978326e-06	4.711751e+00	2.174938e-01
5.356474485978266e-06	4.711719e+00	2.244467e-01
5.366474485978207e-06	4.711685e+00	2.313941e-01
5.376474485978147e-06	4.711651e+00	2.383359e-01
5.386474485978088e-06	4.711617e+00	2.452722e-01
5.396474485978029e-06	4.711582e+00	2.522030e-01
5.406474485977969e-06	4.711546e+00	2.591283e-01
5.416474485977910e-06	4.711510e+00	2.660480e-01
5.426474485977851e-06	4.711473e+00	2.729623e-01
5.436474485977791e-06	4.711435e+00	2.798710e-01
5.446474485977732e-06	4.711397e+00	2.867742e-01
5.456474485977672e-06	4.711359e+00	2.936719e-01
5.466474485977613e-06	4.711319e+00	3.005641e-01
5.476474485977554e-06	4.711279e+00	3.074509e-01
5.486474485977494e-06	4.711238e+00	3.143321e-01
